POST_CODE,POST_NAME,x,y
10000,Praha 10,14.49449064,50.07159185
10100,Praha 101,14.46243774,50.06550801
10200,Praha 102,14.53571392,50.05836059
10300,Praha 113,14.63006613,50.01291227
10400,Praha 114,14.60549704,50.03447374
10600,Praha 106,14.49369096,50.05314061
10700,Praha 112,14.59260803,50.06445470
10800,Praha 108,14.51769286,50.08184591
10900,Praha 111,14.56174116,50.04936789
11000,Praha 1,14.42351073,50.08566648
11800,Praha 011,14.40047230,50.08764271
11900,Praha 012,14.40219000,50.09105112
12000,Praha 2,14.43474871,50.07467139
12800,Praha 28,14.42090471,50.06801512
13000,Praha 3,14.46969747,50.08643987
14000,Praha 4,14.44623844,50.04616740
14100,Praha 41,14.47450036,50.04644987
14200,Praha 411,14.45614319,50.00819986
14300,Praha 412,14.42769034,49.99017083
14700,Praha 47,14.41604401,50.03477643
14800,Praha 414,14.48396192,50.01696224
14900,Praha 415,14.52009537,50.02150013
15000,Praha 5,14.37693219,50.06587489
15200,Praha 52,14.37936873,50.03707779
15300,Praha 512,14.35522511,49.99133788
15400,Praha 514,14.34942847,50.01402371
15500,Praha 515,14.31042651,50.03567613
15521,Praha 517,14.27606880,50.06309079
15531,Praha 511,14.35873124,49.95585571
15600,Praha 516,14.38530488,49.96802776
15800,Praha 58,14.35826163,50.05266407
15900,Praha 59,14.38601324,50.00838987
16000,Praha 6,14.37947891,50.10844398
16100,Praha 614,14.28396343,50.09619387
16200,Praha 616,14.35129898,50.08938393
16300,Praha 618,14.30746789,50.06999518
16400,Praha 619,14.32196549,50.11072860
16500,Praha 620,14.37208711,50.13290172
16900,Praha 69,14.36498689,50.08269312
17000,Praha 7,14.43249737,50.10421595
17100,Praha 71,14.41646519,50.11918873
18000,Praha 8,14.46951451,50.10941260
18100,Praha 81,14.42088540,50.13584876
18200,Praha 82,14.47212733,50.14358258
18400,Praha 84,14.44727778,50.14823222
18600,Praha 86,14.45335955,50.09344816
19000,Praha 9,14.50483338,50.10969724
19011,Praha 911,14.61713904,50.08128622
19012,Praha 912,14.58674219,50.08900446
19014,Praha 914,14.66435699,50.09405320
19015,Praha 915,14.58013072,50.12582396
19016,Praha 916,14.66321994,50.07493866
19017,Praha 917,14.57451026,50.14295282
19300,Praha 913,14.62369373,50.11092929
19600,Praha 96,14.52779770,50.15801727
19700,Praha 97,14.54558815,50.13007494
19800,Praha 98,14.55488646,50.10248240
19900,Praha 99,14.51578216,50.13640652
25001,Brandýs n.Labem-St.Bol.1,14.65828810,50.18011387
25063,Mratín,14.56247066,50.19612952
25064,Mìšice u Prahy,14.51758140,50.20159473
25065,Líbeznice,14.48059949,50.19478194
25066,Zdiby,14.43454946,50.16407617
25067,Klecany,14.40855003,50.18480990
25068,Øež u Prahy,14.37086120,50.17524388
25069,Vodochody,14.40432360,50.20617408
25070,Odolena Voda,14.42463921,50.23270132
25072,Kojetice u Prahy,14.49343709,50.23430717
25073,Jenštejn,14.60026822,50.15225103
25075,Káraný,14.74261595,50.18246894
25081,Nehvizdy,14.73208419,50.13123879
25082,Úvaly,14.73273147,50.08387295
25083,Škvorec,14.72804692,50.04093077
25084,Sibøina,14.67425355,50.04310023
25087,Mochov,14.78612765,50.13325758
25088,Èelákovice,14.76094901,50.15865789
25089,Láznì Toušeò,14.71314831,50.16430947
25090,Jirny,14.69905388,50.11574181
25091,Zeleneè v Èechách,14.66682826,50.14066331
25092,Šestajovice,14.67503490,50.11234079
25101,Øíèany u Prahy,14.65308424,49.98647697
25162,Mukaøov,14.74720760,49.98421937
25163,Stranèice,14.66231060,49.94760602
25164,Mnichovice,14.72552649,49.94387243
25165,Ondøejov,14.77347889,49.91170183
25166,Senohraby,14.72498088,49.90747780
25167,Pyšely,14.66185753,49.88046592
25168,Kamenice,14.57496889,49.91219552
25169,Velké Popovice,14.64253373,49.91172706
25202,Jílovištì,14.34456377,49.92923129
25203,Øitka,14.29271521,49.89808092
25204,Èisovice,14.31402155,49.86298535
25205,Hvozdnice,14.35018032,49.86028831
25206,Davle,14.38399127,49.88296171
25207,Štìchovice,14.39259483,49.85304135
25208,Slapy nad Vltavou,14.40564749,49.81653317
25209,Hradiško pod Medníkem,14.42413424,49.86545733
25210,Mníšek pod Brdy,14.27880637,49.87377543
25216,Nuèice,14.21487199,50.01507918
25217,Tachlovice,14.24727529,49.99663959
25218,Úhonice,14.17068216,50.04547503
25219,Rudná u Prahy,14.21986441,50.03557357
25225,Jinoèany,14.27792877,50.01578803
25226,Tøebotov,14.29171467,49.97624268
25228,Èernošice,14.31675940,49.95779681
25229,Dobøichovice,14.27052948,49.92489237
25230,Øevnice,14.23247869,49.90338478
25231,Všenory,14.30939359,49.93085496
25241,Dolní Bøežany,14.46515178,49.94746547
25242,Jesenice u Prahy,14.52592885,49.97437211
25243,Prùhonice,14.55158790,49.99856264
25244,Psáry,14.51637193,49.93935024
25245,Zvole u Prahy,14.41458664,49.92761872
25246,Vrané nad Vltavou,14.38151474,49.92900581
25261,Jeneè,14.21125914,50.09488618
25262,Horomìøice,14.33762830,50.13696060
25263,Roztoky u Prahy,14.38247851,50.15955618
25264,Velké Pøílepy,14.29667715,50.16415253
25265,Tursko,14.31139234,50.19279615
25266,Libèice nad Vltavou,14.35606412,50.19313389
25267,Tuchomìøice,14.28263462,50.13136530
25268,Støedokluky,14.24703934,50.13821386
25281,Petrov u Prahy,14.44383112,49.89175206
25282,Kamenný Pøívoz,14.50110488,49.86247388
25301,Hostivice,14.23731276,50.07462428
25401,Jílové u Prahy,14.48372429,49.89526109
25601,Benešov u Prahy,14.71739107,49.78898707
25701,Postupice,14.77129776,49.71749153
25703,Jankov,14.73987813,49.65280102
25706,Louòovice pod Blaníkem,14.83056508,49.63378937
25708,Naèeradec,14.91687868,49.59672621
25709,Pravonín,14.94579206,49.63685081
25721,Poøíèí nad Sázavou,14.67920937,49.83267601
25722,Èerèany,14.71820476,49.85700664
25723,Pøestavlky u Èerèan,14.73954433,49.85591625
25724,Chocerady,14.82350508,49.85713088
25725,Kozmice u Benešova,14.79017468,49.82700318
25726,Divišov,14.88942203,49.78459872
25728,Chotýšany,14.81886046,49.74769105
25741,Týnec nad Sázavou,14.59454873,49.82899899
25742,Krhanice,14.56244199,49.86523069
25744,Netvoøice,14.48720187,49.80859714
25751,Bystøice u Benešova,14.66156282,49.72012817
25753,Vrchotovy Janovice,14.58273477,49.67610692
25755,Maršovice,14.56743764,49.71036644
25756,Neveklov,14.52503802,49.74600407
25763,Trhový Štìpánov,15.02510778,49.72283892
25764,Zdislavice,14.98016161,49.68028191
25765,Èechtice,15.05113443,49.64646500
25766,Køivsoudov,15.09422746,49.63010388
25768,Dolní Kralovice,15.17419483,49.64529939
25771,Soutice,15.05448209,49.72389027
25786,Milièín,14.67745832,49.57205492
25787,Støezimíø,14.61229008,49.53343158
25788,Èervený Újezd u Votic,14.60512472,49.55604085
25789,Heømanièky,14.58862639,49.60205126
25791,Sedlec-Prèice 1,14.53062335,49.55730721
25792,Sedlec-Prèice 2,14.54839402,49.58541592
25801,Vlašim,14.91341259,49.70475279
25901,Votice,14.62869488,49.64449831
26101,Pøíbram 1,14.01837439,49.69284810
26202,Stará Hu u Dobøíše,14.20670548,49.77389553
26203,Nový Knín,14.31096373,49.78013756
26204,Nová Ves pod Pleší,14.26005031,49.82940247
26205,Velká Leèice,14.31390125,49.81478719
26206,Korkynì,14.34719482,49.77902895
26211,Rosovice,14.11536453,49.74766961
26212,Oboøištì,14.14894468,49.74094851
26213,Neèín,14.20956849,49.69664401
26214,Høimìždice,14.28218686,49.68968575
26215,Borotice,14.28091971,49.73447907
26221,Obecnice,13.91040309,49.70483289
26222,Hluboš,14.02513179,49.75291761
26223,Jince,13.88833588,49.72735879
26225,Pièín,14.06013839,49.75321031
26231,Milín,14.08246006,49.61649982
26232,Peèice,14.09766127,49.60451009
26241,Bohutín,13.93457811,49.65481090
26242,Rožmitál pod Tøemšínem,13.84551116,49.58344980
26243,Vìšín,13.80600808,49.61137472
26244,Hvožïany,13.79867997,49.53042009
26251,Dublovice,14.35669610,49.67617992
26252,Vysoký Chlumec,14.38633737,49.62116226
26255,Petrovice u Sedlèan,14.34583386,49.56826378
26256,Krásná Hora nad Vltavou,14.24916562,49.59978406
26261,Višòová u Pøíbramì,14.12429718,49.68769304
26262,Dolní Hbity,14.17042630,49.65529309
26263,Kamýk nad Vltavou,14.18064401,49.64372715
26272,Bøeznice,13.97966086,49.55842966
26281,Tochovice,13.98849145,49.59796796
26284,Zalužany,14.09678041,49.54587398
26285,Drahenice,13.95862588,49.52080235
26291,Kosova Hora,14.47613131,49.65273886
26293,Nalžovice,14.36430069,49.70265888
26301,Dobøíš 1,14.18455856,49.76392875
26401,Sedlèany,14.41673330,49.65005590
26601,Beroun 1,14.09079134,49.97962014
26701,Králùv Dvùr u Berouna,14.03495824,49.91435263
26703,Hudlice,13.95663908,49.96705980
26705,Nižbor,13.99722733,50.00264005
