"id","typ","nazev","misto","PSC","pod6","pod15","pod18","pod26","nad26","celkem","vodni"
23203,"stredisko","středisko Řehoře Mendla Brno","Brno 2",60200,4,164,16,25,32,241,
23210,"stredisko","středisko Dvojka Brno","Brno",61200,0,129,27,19,45,220,
23222,"stredisko","středisko A je to! Brno","Brno",60200,2,96,24,20,29,171,
23228,"stredisko","středisko Milana Genserka Brno","Brno",63800,0,125,12,24,22,183,
23235,"stredisko","středisko Mafeking Brno","Brno 15",61500,9,112,19,25,31,196,
23241,"stredisko","středisko Královo Pole Brno","Brno",61200,5,110,17,23,34,189,
23246,"stredisko","středisko Hiawatha Brno","Brno 13",61300,2,123,11,22,43,201,
23258,"stredisko","středisko Kompas Brno","Brno",61200,1,122,27,37,34,221,
23265,"stredisko","středisko Duha Brno","Brno - Řečkovice",62100,1,190,29,35,39,294,
23284,"stredisko","středisko Stopadesáttrojka Brno","Brno 2",60200,1,30,14,13,15,73,
23289,"stredisko","středisko Vrbovec Brno","Brno - Bosonohy",64200,0,186,30,38,46,300,
23298,"stredisko","středisko Axinit Brno","Brno",61600,0,120,17,14,19,170,
23306,"stredisko","středisko Žabovřesky Brno","Brno",61600,1,82,11,23,20,137,
23313,"stredisko","středisko Starý Lískovec Brno","Brno",62500,0,90,14,12,26,142,
23317,"stredisko","středisko Brána Brno","Brno",60200,10,176,46,64,62,358,
23327,"stredisko","středisko Oslavany","Oslavany",66412,1,18,7,4,21,51,
23335,"stredisko","středisko Ivančice","Ivančice",66491,10,50,6,5,15,86,
23346,"stredisko","středisko Wahinkpe Střelice","Střelice",66447,0,59,15,15,23,112,
23350,"stredisko","středisko Tumulus Újezd u Brna","Újezd u Brna",66453,2,60,10,4,13,89,
23355,"stredisko","středisko Květnice Tišnov","Tišnov",66601,0,108,18,21,18,165,
23361,"stredisko","středisko Kuřim","Kuřim",66434,11,97,26,17,27,178,
23367,"stredisko","středisko Veverská Bítýška","Veverská Bítýška",66471,0,39,2,10,27,78,
23372,"stredisko","středisko Křtiny","Křtiny",67905,15,81,4,20,22,142,
23378,"stredisko","středisko Pozořice","Pozořice",66407,26,194,23,41,63,347,
23394,"stredisko","středisko Hrozen Židlochovice","Židlochovice",66701,7,99,4,14,13,137,
23403,"stredisko","středisko Devíti Křížů Domašov","Domašov",66483,0,74,12,9,16,111,
23409,"stredisko","středisko Šlapanice","Šlapanice u Brna",66451,15,112,20,12,17,176,
23414,"stredisko","středisko Vranovice","Vranovice",69125,8,185,21,22,24,260,
23422,"stredisko","středisko Kyjov","Kyjov",69701,3,134,12,23,36,208,
23432,"stredisko","středisko Čejka Veselí nad Moravou","Veselí nad Moravou",69801,0,87,8,13,25,133,
23438,"stredisko","středisko Ratíškovice","Ratíškovice",69602,3,159,22,24,35,243,
23449,"stredisko","středisko Mikulčice","Mikulčice",69619,0,70,13,8,27,118,
23457,"stredisko","středisko Přátelství Hodonín","Hodonín 1",69501,4,101,13,17,22,157,
23479,"stredisko","středisko Vyškov","Vyškov",68201,3,173,36,46,47,305,
23487,"stredisko","středisko Slavkov u Brna","Slavkov u Brna",68401,6,79,10,7,14,116,
23493,"stredisko","středisko Jevišovice","Jevišovice",67153,3,30,8,10,26,77,
23497,"stredisko","středisko Podyjí Znojmo","Znojmo",66902,0,110,19,35,37,201,
23507,"stredisko","středisko Rájec-Jestřebí","Rájec-Jestřebí",67902,0,56,2,15,28,101,
23512,"stredisko","středisko Boskovice","Boskovice",68001,23,178,30,40,91,362,
23521,"stredisko","středisko Erb Letovice","Letovice",67961,23,54,6,10,41,134,
23527,"stredisko","středisko Jedovnice","Jedovnice",67906,0,118,24,27,46,215,
23537,"stredisko","středisko Světla Blansko","Blansko",67801,26,297,39,56,65,483,
23542,"stredisko","středisko Srdce na dlani Blansko","Blansko",67801,17,167,26,34,46,290,
23549,"stredisko","středisko Svatopluk Břeclav","Břeclav",69002,0,83,16,19,35,153,
23556,"stredisko","středisko Mikulov","Mikulov",69201,11,66,5,11,17,110,
23570,"stredisko","středisko Vlašim","Vlašim",25801,2,59,9,5,33,108,
23576,"stredisko","středisko Kamenice","Kamenice",25168,2,118,10,24,17,171,
23582,"stredisko","středisko Úsvit Votice","Votice",25901,0,59,7,7,31,104,
23588,"stredisko","středisko 01 Beroun","Beroun",26601,0,96,7,13,19,135,
23593,"stredisko","středisko 02 Hořovice","Hořovice",26801,0,0,0,0,7,7,
23597,"stredisko","středisko 03 Králův Dvůr","Králův Dvůr",26701,1,24,3,3,17,48,
23603,"stredisko","středisko Radost a Naděje Beroun","Beroun 1",26601,9,95,17,14,15,150,
23616,"stredisko","středisko Balvan Rudná","Rudná",25219,0,82,20,7,52,161,
23621,"stredisko","středisko 08 Mořina","Mořina",26717,4,64,7,17,9,101,
23630,"stredisko","středisko Mušketýři Nové Strašecí","Nové Strašecí",27101,0,51,10,14,25,100,
23644,"stredisko","středisko Orion Kladno","Kladno",27204,3,128,19,33,44,227,
23653,"stredisko","středisko Stopa Kladno","Kladno 1",27201,2,65,5,2,11,85,
23657,"stredisko","středisko Stráž Lidic Buštěhrad","Buštěhrad",27343,2,59,2,22,27,112,
23666,"stredisko","středisko Mír Libušín","Libušín",27306,14,46,8,6,31,105,
23672,"stredisko","středisko Modrý Kruh Slaný","Slaný",27401,14,84,11,15,17,141,
23681,"stredisko","1. středisko Kolín","Kolín",28002,6,72,14,18,34,144,
23689,"stredisko","přístav Poutníci Kolín","Kolín 5",28002,6,50,5,12,12,85,"TRUE"
23698,"stredisko","středisko Starý Kolín","Starý Kolín",28123,0,20,6,3,11,40,
23702,"stredisko","středisko Červené Pečky","Červené Pečky",28121,0,141,16,29,35,221,
23715,"stredisko","středisko Ing. Ládi Nováka Český Brod","Český Brod",28201,0,66,19,29,30,144,
