"id","typ","nazev","misto","PSC","pod6","pod15","pod18","pod26","nad26","celkem","vodni"
23721,"stredisko","přístav Slanečci Kolín","Kolín 5",28000,4,43,10,12,22,91,"TRUE"
23729,"stredisko","středisko Kouřim","Kouřim",28161,4,36,10,21,22,93,
23737,"stredisko","středisko Modrá želva Ratboř","Ratboř",28141,1,55,13,10,24,103,
23746,"stredisko","středisko Psohlavci Český Brod","Český Brod",28201,8,110,19,9,21,167,
23752,"stredisko","středisko Plaňany","Plaňany",28104,0,67,7,10,39,123,
23760,"stredisko","středisko Kutná Hora","Kutná Hora 1",28401,10,100,15,24,39,188,
23766,"stredisko","středisko Čáslav","Čáslav",28601,13,39,8,8,10,78,
23771,"stredisko","přístav Dobré naděje Kutná Hora","Kutná Hora",28401,3,31,5,9,21,69,
23777,"stredisko","středisko Vrdy - Bučice","Vrdy - Dolní Bučice",28571,0,32,4,9,39,84,
23783,"stredisko","středisko Jana Roháče z Dubé a na Sioně Uhlířské Janovice","Uhlířské Janovice",28504,0,42,4,2,22,70,
23789,"stredisko","středisko Doubrava Ronov nad Doubravou","Ronov nad Doubravou",53842,1,22,2,2,9,36,
23794,"stredisko","středisko Mělník","Mělník 1",27601,0,48,5,5,13,71,
23801,"stredisko","středisko Kostelec nad Labem","Kostelec nad Labem",27713,8,41,3,6,18,76,
23807,"stredisko","středisko Lišák Neratovice","Neratovice",27711,0,84,12,16,14,126,
23814,"stredisko","přístav Modrá kotva Liběchov","Liběchov",27721,4,32,4,5,17,62,"TRUE"
23821,"stredisko","přístav Neratovice","Neratovice",27711,1,67,10,19,40,137,"TRUE"
23829,"stredisko","středisko Dakota Mladá Boleslav","Mladá Boleslav",29301,0,53,6,8,23,90,
23837,"stredisko","středisko Povodeň Benátky nad Jizerou","Benátky nad Jizerou",29471,0,110,16,18,20,164,
23852,"stredisko","středisko Mnichovo Hradiště","Mnichovo Hradiště",29501,0,96,22,17,12,147,
23858,"stredisko","přístav Mladá Boleslav","Mladá Boleslav",29301,0,28,3,0,15,46,"TRUE"
23862,"stredisko","středisko Svornost Bělá pod Bezdězem","Bělá pod Bezdězem",29421,1,39,3,5,25,73,
23867,"stredisko","středisko Cefeus Nymburk","Nymburk",28802,1,59,4,11,16,91,
23873,"stredisko","přístav Modrá flotila Nymburk","Nymburk",28802,1,57,11,9,19,97,"TRUE"
23880,"stredisko","středisko Lysá nad Labem","Lysá nad Labem",28922,7,114,8,10,21,160,
23886,"stredisko","středisko Městec Králové","Městec Králové",28903,7,50,5,7,37,106,
23895,"stredisko","středisko Krále Jiřího Poděbrady","Poděbrady",29001,3,66,10,9,41,129,
23906,"stredisko","středisko Sadská","Sadská",28912,0,14,6,2,14,36,
23913,"stredisko","středisko Krahujec Nymburk","Nymburk 2",28802,0,59,16,19,26,120,
23920,"stredisko","středisko VJAS Brandýs n. L.","Brandýs nad Labem",25001,12,49,7,2,16,86,
23927,"stredisko","středisko Br. Fandy Antoše Jirny","Jirny",25090,2,62,4,7,17,92,
23931,"stredisko","středisko Havran Klecany","Klecany",25067,2,72,14,11,31,130,
23936,"stredisko","středisko Willi Líbeznice","Líbeznice",25065,0,108,17,18,29,172,
23945,"stredisko","středisko Čelákovice","Čelákovice",25088,1,56,14,16,17,104,
23951,"stredisko","středisko Lípa Říčany","Říčany",25101,0,134,24,21,57,236,
23961,"stredisko","středisko Jiřího Bubáka Úvaly","Úvaly",25082,0,80,14,14,15,123,
23967,"stredisko","středisko Stará Boleslav","Stará Boleslav",25002,9,75,18,4,16,122,
23973,"stredisko","přístav RETRA Brandýs nad Labem","Předměřice nad Jizerou",29474,1,43,9,5,13,71,"TRUE"
23978,"stredisko","středisko Zápy","Zápy",25001,0,40,7,7,6,60,
23988,"stredisko","středisko Skalka Mníšek pod Brdy","Mníšek pod Brdy",25210,4,83,11,7,13,118,
23993,"stredisko","středisko Lesní Moudrost Dobřichovice","Dobřichovice",25229,0,90,19,15,7,131,
23999,"stredisko","středisko Vltava Vrané nad Vltavou","Vrané nad Vltavou",25246,0,57,8,5,22,92,
24006,"stredisko","přístav Dub Všenory","Všenory",25231,0,19,5,4,6,34,"TRUE"
24010,"stredisko","středisko Uragan Zbraslav","Praha - Zbraslav",15600,0,140,22,24,37,223,
24027,"stredisko","středisko Černošice","Černošice",25228,0,56,18,15,9,98,
24046,"stredisko","středisko Clan Hiawatha Příbram","Příbram",26101,0,35,18,13,46,112,
24064,"stredisko","středisko Rožmitál p. Tř.","Rožmitál pod Třemšínem",26242,0,70,19,10,32,131,
24076,"stredisko","středisko Hiawatha Příbram","Příbram 7",26101,5,127,17,15,26,190,
24097,"stredisko","středisko Fr. Konáše Benešov","Benešov",25726,1,88,21,9,22,141,
24098,"stredisko","středisko Sedlčany","Sedlčany",26401,2,41,10,8,21,82,
24102,"stredisko","přístav Pětka Praha","Praha 1",11000,0,65,9,10,46,130,"TRUE"
24118,"stredisko","středisko Dvojka Praha","Praha 2 - Vinohrady",12000,0,64,14,20,64,162,
24131,"stredisko","středisko Polaris Praha","Praha 5 - Zbraslav",15600,0,119,17,23,36,195,
24148,"stredisko","středisko Maják Praha","Praha 3",13000,0,83,23,22,53,181,
24157,"stredisko","středisko Bratří Mašínů Praha","Praha 9 - Libeň",19000,0,91,6,7,46,150,
24168,"stredisko","středisko Arcus Praha","Praha 3 - Žižkov",13000,5,94,4,15,49,167,
24176,"stredisko","4. přístav Jana Nerudy Praha","Praha 3",13000,0,101,16,16,30,163,"TRUE"
24185,"stredisko","61. středisko Vítkov Praha","Praha 3 - Žižkov",13000,1,84,16,22,29,152,
24202,"stredisko","5. středisko Modřany","Praha 4 - Kamýk",14200,0,54,5,9,30,98,
24207,"stredisko","7. středisko Blaník Praha","Praha 4",14700,0,454,100,137,51,742,
24232,"stredisko","středisko Platan Praha","Praha 4",14000,7,69,4,7,30,117,
24239,"stredisko","34. středisko Ostříž Praha","Praha 4 - Záběhlice",14100,12,155,23,24,40,254,
24254,"stredisko","středisko Paprsek Praha-Kunratice","Praha 4 - Kunratice",14800,10,39,5,9,10,73,
24258,"stredisko","středisko Trilobit Praha","Praha 4",14700,3,52,4,12,17,88,
24272,"stredisko","středisko 55 Vatra Praha","Praha 5 - Stodůlky",15500,0,23,8,10,15,56,
24278,"stredisko","středisko Hiawatha Praha","Praha 5 - Smíchov",15000,2,119,20,24,51,216,
24286,"stredisko","středisko Mawadani Praha 5","Praha 5",15500,0,54,12,17,25,108,
24297,"stredisko","středisko 5. květen Radotín","Praha 5 - Radotín",15300,5,76,5,15,27,128,
24312,"stredisko","středisko Vočko Praha","Praha 6",16000,0,139,17,23,20,199,
24319,"stredisko","středisko Osmička Libčice nad Vltavou","Libčice nad Vltavou",25266,3,30,4,4,10,51,
24323,"stredisko","10. středisko Bílá Hora Praha","Praha 6 - Ruzyně",16100,1,110,15,11,29,166,
24329,"stredisko","středisko Pplk. Vally Praha","Praha 6 - Vokovice",16000,0,67,11,22,22,122,
24338,"stredisko","18. středisko Kruh Praha","Praha 6 - Dejvice",16000,0,83,10,33,63,189,
24344,"stredisko","středisko Šipka Praha","Praha 6 - Dejvice",16000,5,143,30,35,24,237,"TRUE"
24351,"stredisko","středisko Jiskra Praha","Praha 6",16000,4,37,1,4,29,75,
24357,"stredisko","středisko Bílý los Praha","Praha 6 - Břevnov a Liboc",16900,0,129,22,21,24,196,
24361,"stredisko","středisko Javor Praha","Praha 6 - Dejvice",16000,0,53,15,14,43,125,
24367,"stredisko","středisko Střelka Kralupy nad Vltavou","Kralupy nad Vltavou",27801,7,76,13,15,27,138,
24375,"stredisko","středisko Lípa Roztoky","Roztoky",25263,2,86,10,13,35,146,
24392,"stredisko","středisko Vatra Praha","Praha 7 - Holešovice",17000,7,32,0,0,17,56,
24399,"stredisko","středisko Bílý Albatros Praha","Praha 7 - Holešovice",17000,0,90,11,19,26,146,
24404,"stredisko","středisko 24 Sever Praha","Praha 8 - Kobylisy",18200,0,76,12,19,33,140,
24415,"stredisko","středisko Silmaril Praha","Praha 7",17000,3,57,6,9,23,98,
24419,"stredisko","středisko Sfinx Praha","Praha 8",18600,0,41,9,10,17,77,
24423,"stredisko","středisko Stopaři Praha","Praha 8 - Bohnice",18102,0,95,26,18,11,150,
24435,"stredisko","středisko 88 Radost Praha","Praha 8 - Kobylisy",18200,0,72,5,24,42,143,
24443,"stredisko","středisko Athabaska Praha","Praha 9",19600,1,83,17,17,38,156,
24453,"stredisko","středisko Douglaska Praha","Praha 21 - Újezd nad Lesy",19016,5,79,6,13,10,113,
24458,"stredisko","středisko Oheň Horní Počernice","Praha 9 - Horní Počernice",19300,0,153,27,60,28,268,
24464,"stredisko","středisko Prosek Praha","Praha 9 - Prosek",19000,6,83,12,15,54,170,
24470,"stredisko","středisko Kyje Praha","Praha 9 - Kyje",19800,2,56,6,8,14,86,
24477,"stredisko","středisko STOVKA Praha","Praha 10 - Vršovice",10100,4,85,6,13,23,131,
24483,"stredisko","středisko Pasát Praha","Praha 4 - Háje",14900,0,63,3,6,9,81,
24491,"stredisko","středisko J. Rady Praha","Praha 4 - Chodov",14900,3,56,7,14,34,114,
24502,"stredisko","středisko Sova Praha","Praha 10 - Strašnice",10000,2,41,5,6,10,64,
24510,"stredisko","středisko 77 ROD SOVY Praha","Praha 10",10000,2,133,19,25,59,238,
24522,"stredisko","středisko Šípů Praha","Praha 10 - Hostivař",10200,0,87,23,9,33,152,
24536,"stredisko","středisko 93 Praha","Praha 6 - Střešovice",16900,0,47,5,6,14,72,
24540,"stredisko","středisko Scarabeus Praha","Praha 10 - Michle",10100,5,32,8,10,14,69,
24548,"stredisko","středisko Krnov","Krnov",79401,0,10,2,3,7,22,
24554,"stredisko","středisko Rýmařov","Rýmařov",79501,0,37,1,2,22,62,
24559,"stredisko","středisko Zlaté Hory","Zlaté Hory",79376,0,54,8,3,12,77,
24564,"stredisko","středisko 8. pěšího pluku Slezského Frýdek-Místek","Frýdek - Místek",73801,0,61,7,12,24,104,
24574,"stredisko","středisko Kruh Frýdek-Místek","Frýdek - Místek",73801,1,86,25,23,25,160,
24589,"stredisko","středisko Ondřejník Frýdlant nad Ostravicí","Frýdlant nad Ostravicí",73911,0,35,5,9,10,59,
24594,"stredisko","středisko Šenov","Šenov",73934,1,140,22,37,20,220,
24601,"stredisko","středisko P. Bezruče Frýdek-Místek","Frýdek - Místek",73801,4,68,15,3,22,112,
24605,"stredisko","středisko Svatý Jiří","Staříč",73943,0,112,28,27,43,210,
24618,"stredisko","středisko Štít Pražmo","Pražmo",73904,0,62,12,5,19,98,
24623,"stredisko","středisko Evžena Cedivody Karviná","Rychvald",73532,2,87,19,17,27,152,
24634,"stredisko","středisko Havířov","Havířov 1",73601,1,40,19,17,23,100,
24643,"stredisko","středisko Hraničář Třinec","Třinec",73995,2,22,5,10,10,49,
24649,"stredisko","středisko Zlatá Orlice Český Těšín","Český Těšín 6",73562,3,49,17,33,40,142,
24657,"stredisko","středisko Pagoda Nový Jičín","Nový Jičín",74101,0,132,21,22,18,193,
24667,"stredisko","středisko Příbor","Příbor",74258,0,93,24,25,24,166,
24674,"stredisko","středisko Kopřivnice","Kopřivnice",74221,1,174,33,40,43,291,
24686,"stredisko","středisko Štramberk","Štramberk",74266,1,42,7,8,16,74,
24694,"stredisko","středisko Odry","Odry",74235,1,126,21,21,17,186,
24698,"stredisko","středisko Albrechtičky","Albrechtičky",74255,9,100,13,19,31,172,
24705,"stredisko","středisko Zvon Opava","Opava",74601,0,127,26,16,29,198,
24710,"stredisko","středisko Jih Opava","Opava",74601,1,27,4,11,9,52,
24714,"stredisko","přístav Poseidon Opava","Opava",74601,1,35,2,9,16,63,"TRUE"
24720,"stredisko","středisko Ostrá Hůrka Háj ve Slezsku","Háj ve Slezsku",74791,1,42,11,11,28,93,
24726,"stredisko","středisko Salvator Dolní Životice","Dolní Životice",74756,0,26,6,6,3,41,
24732,"stredisko","středisko DVOJKA Nový Jičín","Nový Jičín",74101,0,38,7,7,20,72,
24748,"stredisko","středisko Mariánské Ostrava","Ostrava - Mariánské Hory",70900,5,19,4,7,24,59,
24757,"stredisko","středisko Svatý Jiří Ostrava","Ostrava - Moravská Ostrava a Přívoz",70200,1,81,15,21,12,130,
24765,"stredisko","středisko Strážci Ostrava","Ostrava - Svinov",72100,1,37,6,10,14,68,
24773,"stredisko","středisko Ještěr Ostrava","Ostrava - Svinov",72100,2,32,3,2,10,49,
24777,"stredisko","středisko Klimkovice","Klimkovice",74283,0,27,8,9,10,54,
24787,"stredisko","středisko Osmačtyřicítka Ostrava","Ostrava - Zábřeh",70030,10,62,27,20,29,148,
24796,"stredisko","středisko Modrý šíp Ostrava","Ostrava - Zábřeh",70030,0,63,10,10,17,100,
24801,"stredisko","středisko Zábřeh Ostrava","Ostrava - Zábřeh",70030,2,36,5,10,11,64,
24815,"stredisko","přístav Eskadra Ostrava","Ostrava - Poruba",70800,2,64,12,17,36,131,"TRUE"
24822,"stredisko","středisko Stará Bělá","Ostrava - Stará Bělá",72400,9,81,15,18,20,143,
24831,"stredisko","středisko Polanka nad Odrou","Polanka nad Odrou",72525,4,61,6,7,9,87,
24841,"stredisko","středisko Mirka Svobody Kroměříž","Kroměříž",76701,10,111,7,5,37,170,
24843,"stredisko","středisko Bruntál","Bruntál 1",79201,0,34,6,4,14,58,
24851,"stredisko","středisko Polárka Kroměříž","Kroměříž 1",76701,6,77,8,16,32,139,
24862,"stredisko","středisko Holešov","Holešov",76901,2,58,7,10,27,104,
24869,"stredisko","středisko Krále Ječmínka Chropyně","Chropyně",76811,0,21,1,8,13,43,
24877,"stredisko","středisko Psohlavci Uherské Hradiště","Uherské Hradiště",68601,5,181,27,47,88,348,
24886,"stredisko","středisko Dvojka Staré Město","Staré Město u Uherského Hradiště",68603,0,30,4,5,13,52,
24891,"stredisko","středisko Jantar Polešovice","Polešovice",68737,0,68,8,11,42,129,
24911,"stredisko","středisko Uherský Brod","Uherský Brod",68801,0,85,20,26,49,180,
24919,"stredisko","středisko Bojkovice","Bojkovice",68771,0,53,8,9,6,76,
24923,"stredisko","středisko Suchá Loz","Suchá Loz",68753,0,67,12,9,17,105,
24927,"stredisko","středisko Modrá","Modrá",68706,2,164,26,22,46,260,
24935,"stredisko","středisko Vsetín","Vsetín",75501,10,98,14,15,61,198,
24950,"stredisko","středisko Valašské Meziříčí","Valašské Meziříčí",75701,11,184,25,28,35,283,
24961,"stredisko","středisko Lidečko","Lidečko",75612,1,29,3,6,11,50,
24969,"stredisko","středisko Rožnov pod Radhoštěm","Rožnov pod Radhoštěm",75661,1,36,4,0,12,53,
24980,"stredisko","středisko Kelč","Kelč",75643,0,57,12,13,18,100,
24994,"stredisko","přístav VIRIBUS UNITIS Ostrava","Ostrava - Poruba",70800,0,49,9,3,19,80,"TRUE"
25014,"stredisko","3. středisko Zlín","Zlín",76001,0,33,5,5,15,58,
25019,"stredisko","středisko Impeesa Zlín","Zlín",76302,13,158,27,31,76,305,
25033,"stredisko","6. středisko Zlín","Zlín",76001,29,165,41,38,25,298,
25042,"stredisko","středisko Malenovice Zlín","Zlín - Malenovice",76302,0,18,6,9,7,40,
25047,"stredisko","středisko Josefa Šivela Otrokovice","Otrokovice",76502,3,68,2,9,15,97,
25052,"stredisko","středisko Jerry Hodného Napajedla","Napajedla",76361,1,44,4,9,30,88,
25059,"stredisko","středisko Osamělý Jestřáb Luhačovice","Luhačovice",76326,1,38,6,2,11,58,
25063,"stredisko","středisko A. B. Svojsíka Slavičín","Slavičín",76321,0,32,5,7,11,55,
25069,"stredisko","středisko Vizovice","Vizovice",76312,2,64,10,14,34,124,
25081,"stredisko","středisko Františka Matulíka Pozlovice","Pozlovice",76326,1,33,10,14,10,68,
25088,"stredisko","středisko Vatra Štítná nad Vláří","Štítná nad Vláří",76333,0,28,5,13,16,62,
25096,"stredisko","středisko Brumov-Bylnice","Brumov-Bylnice",76331,0,70,13,17,23,123,
25101,"stredisko","středisko Slušovice","Slušovice",76315,0,29,7,20,6,62,
25111,"stredisko","středisko Bobři Havlíčkův Brod","Havlíčkův Brod",58001,0,47,14,22,50,133,
25128,"stredisko","středisko Františka Barvíře Třebechovice pod Orebem","Třebechovice pod Orebem",50346,4,76,6,16,37,139,
25135,"stredisko","středisko Doubravka Chotěboř","Chotěboř",58301,0,59,14,21,34,128,
25147,"stredisko","středisko Ledeč nad Sázavou","Ledeč nad Sázavou",58401,9,40,3,0,27,79,
25153,"stredisko","středisko Goliath Přibyslav","Přibyslav",58222,4,76,6,11,69,166,
25185,"stredisko","středisko Bobříci Havlíčkův Brod","Havlíčkův Brod",58001,1,107,15,11,61,195,
25198,"stredisko","středisko Zvon Jihlava","Jihlava",58601,0,35,6,1,26,68,
25218,"stredisko","středisko Batelov","Batelov",58851,1,31,2,6,18,58,
25228,"stredisko","středisko Luka nad Jihlavou","Luka nad Jihlavou",58822,4,67,8,17,12,108,
25235,"stredisko","středisko Divočáci Jihlava","Jihlava",58601,1,50,16,15,30,112,
25271,"stredisko","středisko Orlík Humpolec","Humpolec",39601,3,30,6,8,18,65,
25277,"stredisko","středisko Sušený tresky Počátky","Počátky",39464,0,19,5,10,4,38,
25288,"stredisko","středisko Pelhřimov","Pelhřimov",39301,1,65,5,11,15,97,
25293,"stredisko","středisko Srdíčko Třebíč","Třebíč",67401,10,215,37,22,33,317,
25315,"stredisko","středisko Moravská Orlice Moravské Budějovice","Moravské Budějovice",67602,9,78,17,13,17,134,
25324,"stredisko","středisko Jemnice","Jemnice",67531,0,48,7,13,29,97,
25334,"stredisko","středisko Budišov","Budišov",67503,0,19,9,4,11,43,
25342,"stredisko","středisko Jiřinky Paroubkové Domažlice","Domažlice",34401,9,61,18,19,51,158,
25348,"stredisko","středisko A.B.S. Holýšov","Holýšov",34562,0,80,14,8,22,124,
25352,"stredisko","středisko Lípa Prapořiště","Kdyně",34506,4,42,2,3,17,68,
25356,"stredisko","středisko Královák Klatovy","Klatovy",33901,1,133,13,19,36,202,
25366,"stredisko","středisko Prácheň","Horažďovice",34101,0,50,6,17,34,107,
25370,"stredisko","středisko Vydří stopa Sušice","Sušice",34201,13,108,23,29,32,205,
25381,"stredisko","středisko Jestřáb Pačejov","Pačejov",34101,0,22,5,6,17,50,
25385,"stredisko","středisko Javor Klatovy","Klatovy",33901,1,24,7,5,27,64,
25395,"stredisko","středisko Jožky Knappa Plzeň","Plzeň - Slovany",30100,12,117,24,14,61,228,
25402,"stredisko","středisko Stopa Plzeň","Plzeň",30100,4,205,14,29,41,293,
25412,"stredisko","středisko 5. květen Plzeň","Plzeň",30100,3,124,16,32,44,219,
25424,"stredisko","středisko ICHTHYS Plzeň","Plzeň 12",31200,4,174,39,33,43,293,
25431,"stredisko","středisko Střela Plzeň","Plzeň 1",30100,1,157,34,34,102,328,
25447,"stredisko","středisko Krokodýl Tlučná","Tlučná",33026,0,59,15,15,11,100,
25451,"stredisko","středisko Limba Plzeň","Plzeň",30100,6,59,12,15,16,108,
25455,"stredisko","přístav Omaha Plzeň","Plzeň",30100,2,86,12,21,28,149,"TRUE"
25463,"stredisko","středisko Dr. Bečváře Přeštice","Přeštice",33401,2,50,3,7,12,74,
25469,"stredisko","středisko Palcát Dnešice","Dnešice",33443,1,15,8,3,14,41,
25473,"stredisko","středisko Příchovice","Příchovice",33401,0,76,12,18,31,137,
25480,"stredisko","středisko Zelený šíp Dobřany","Dobřany",33441,3,92,7,14,15,131,
25486,"stredisko","středisko Devětsil Spálené Poříčí","Spálené Poříčí",33561,1,19,4,4,17,45,
25508,"stredisko","středisko Rarášek Rokycany","Rokycany",33701,13,76,14,7,25,135,
25518,"stredisko","středisko Omaha Radnice","Radnice",33828,12,41,12,10,15,90,
25527,"stredisko","středisko Omaha Kralovice","Kralovice",33141,0,16,4,5,28,53,
25532,"stredisko","středisko Tajfun Tachov","Tachov 1",34701,0,36,5,0,15,56,
25540,"stredisko","středisko Velké Meziříčí","Uhřínov",59441,6,50,16,16,14,102,
25552,"stredisko","středisko Řetěz Česká Lípa","Česká Lípa",47001,5,69,13,20,60,167,
25566,"stredisko","středisko Klíč Nový Bor","Nový Bor",47301,4,67,7,13,25,116,
25572,"stredisko","středisko Doksy","Doksy",47201,3,53,8,10,19,93,
25578,"stredisko","přístav Ralsko Mimoň","Mimoň",47124,1,89,14,13,18,135,"TRUE"
25591,"stredisko","středisko Jablonec nad Nisou","Jablonec nad Nisou 5",46605,16,146,16,22,78,278,
25612,"stredisko","středisko Ještěd Liberec","Liberec 8",46008,1,39,7,14,42,103,
25620,"stredisko","středisko Stopa Liberec","Liberec 14",46014,12,107,16,20,40,195,
25630,"stredisko","středisko Mustang Liberec","Liberec 14",46014,0,86,15,20,46,167,
25640,"stredisko","přístav Flotila Liberec","Liberec 25",46312,0,22,8,7,37,74,"TRUE"
25647,"stredisko","středisko Šurean Liberec","Liberec 30",46311,0,61,16,26,17,120,
25652,"stredisko","přístav Maják Liberec","Liberec",46015,1,57,5,9,15,87,"TRUE"
25662,"stredisko","středisko Hrádek nad Nisou","Hrádek nad Nisou",46334,0,31,2,1,7,41,
25666,"stredisko","středisko Dub Český Dub","Český Dub",46343,1,29,9,9,17,65,
25678,"stredisko","středisko Varta Semily","Semily",51301,7,118,19,23,48,215,
25686,"stredisko","středisko Štika Turnov","Turnov",51101,5,184,28,52,51,320,
25695,"stredisko","středisko Jilm Jilemnice","Jilemnice",51401,17,145,26,19,55,262,
25706,"stredisko","středisko Údolí Železný Brod","Železný Brod",46822,3,20,3,6,18,50,
25713,"stredisko","středisko Lípa Tatobity","Tatobity",51253,3,31,3,6,10,53,
25722,"stredisko","středisko Jestřáb Jilemnice","Jilemnice",51401,0,33,5,7,21,66,
25737,"stredisko","přístav Žlutá Ponorka Třebíč","Třebíč",67401,2,69,14,13,30,128,"TRUE"
25752,"stredisko","středisko Bílý štít Nové Město na Moravě","Nové Město na Moravě",59231,0,80,14,22,31,147,
